Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
110                           0.5                           357                           20479                         1                             0.10992884635925293
110                           0.75                          554                           990545                        1                             8.324116230010986
111                           0.125                         152                           647                           1                             0.003952980041503906
111                           0.25                          207                           1838                          1                             0.009593963623046875
111                           0.5                           321                           28152                         1                             0.1447920799255371
111                           0.75                          571                           1190715                       1                             10.004501819610596
112                           0.125                         156                           651                           1                             0.004097461700439453
112                           0.25                          221                           1952                          1                             0.010025501251220703
112                           0.5                           369                           21354                         1                             0.12292623519897461
112                           0.75                          635                           1144963                       1                             10.11248517036438
113                           0.125                         136                           744                           1                             0.004359722137451172
113                           0.25                          228                           1826                          1                             0.010352134704589844
113                           0.5                           342                           26867                         1                             0.14574933052062988
113                           0.75                          597                           1031582                       1                             8.805797100067139
114                           0.125                         180                           619                           1                             0.004118442535400391
114                           0.25                          199                           2085                          1                             0.010909080505371094
114                           0.5                           331                           23746                         1                             0.13096880912780762
114                           0.75                          560                           1429576                       1                             12.39657211303711
115                           0.125                         173                           654                           1                             0.0044286251068115234
115                           0.25                          201                           2269                          1                             0.01146697998046875
115                           0.5                           314                           34464                         1                             0.17567729949951172
115                           0.75                          566                           2024122                       1                             16.305340051651
116                           0.125                         180                           641                           1                             0.004353761672973633
116                           0.25                          204                           2209                          1                             0.011863231658935547
116                           0.5                           369                           20907                         1                             0.12343668937683105
116                           0.75                          601                           1563816                       1                             13.705643653869629
117                           0.125                         143                           772                           1                             0.004740715026855469
117                           0.25                          201                           2355                          1                             0.012117862701416016
117                           0.5                           302                           34755                         1                             0.17795109748840332
117                           0.75                          572                           1424625                       1                             11.87388801574707
118                           0.125                         168                           703                           1                             0.0044362545013427734
118                           0.25                          208                           2337                          1                             0.01192784309387207
118                           0.5                           336                           28151                         1                             0.15503740310668945
118                           0.75                          634                           1318249                       1                             11.967193841934204
119                           0.125                         174                           691                           1                             0.004818439483642578
119                           0.25                          201                           2362                          1                             0.013470888137817383
119                           0.5                           324                           30466                         1                             0.17224502563476562
119                           0.75                          561                           1800753                       1                             15.490873575210571
120                           0.125                         157                           767                           1                             0.004771232604980469
120                           0.25                          210                           2532                          1                             0.013639211654663086
120                           0.5                           323                           34179                         1                             0.18494701385498047
120                           0.75                          560                           2041466                       1                             16.72245144844055
121                           0.125                         163                           796                           1                             0.004816293716430664
121                           0.25                          251                           1958                          1                             0.011538505554199219
121                           0.5                           339                           32172                         1                             0.1753373146057129
121                           0.75                          608                           1599757                       1                             13.752377033233643
122                           0.125                         155                           824                           1                             0.00493168830871582
122                           0.25                          215                           2435                          1                             0.012983083724975586
122                           0.5                           347                           35124                         1                             0.19041872024536133
122                           0.75                          585                           3096522                       1                             28.14996886253357
123                           0.125                         174                           742                           1                             0.005369901657104492
123                           0.25                          215                           2591                          1                             0.015371561050415039
123                           0.5                           345                           40188                         1                             0.24329495429992676
123                           0.75                          602                           3529085                       1                             32.040356397628784
124                           0.125                         182                           756                           1                             0.005084991455078125
124                           0.25                          219                           2392                          1                             0.01391458511352539
124                           0.5                           330                           40368                         1                             0.2219400405883789
124                           0.75                          635                           2197881                       1                             20.42512559890747
125                           0.125                         162                           798                           1                             0.005140542984008789
125                           0.25                          213                           2376                          1                             0.01335453987121582
125                           0.5                           320                           42139                         1                             0.2275254726409912
125                           0.75                          643                           2369935                       1                             22.5211443901062
126                           0.125                         163                           857                           1                             0.005332469940185547
126                           0.25                          203                           2731                          1                             0.015204429626464844
126                           0.5                           343                           47840                         1                             0.26491665840148926
126                           0.75                          660                           2374426                       1                             23.013614654541016
127                           0.125                         151                           895                           1                             0.005602836608886719
127                           0.25                          203                           2777                          1                             0.015500783920288086
127                           0.5                           334                           40229                         1                             0.22455358505249023
127                           0.75                          585                           2497648                       1                             21.925076484680176
128                           0.125                         170                           870                           1                             0.005511045455932617
128                           0.25                          222                           2787                          1                             0.015533208847045898
128                           0.5                           362                           42178                         1                             0.24410605430603027
128                           0.75                          642                           2667507                       1                             24.54012680053711
129                           0.125                         152                           946                           1                             0.005587577819824219
129                           0.25                          220                           2790                          1                             0.01580047607421875
129                           0.5                           331                           56288                         1                             0.2967209815979004
129                           0.75                          597                           4578269                       1                             40.58651518821716
130                           0.125                         164                           906                           1                             0.005879402160644531
130                           0.25                          205                           3143                          1                             0.017208099365234375
130                           0.5                           358                           39842                         1                             0.2583587169647217
130                           0.75                          618                           3963501                       1                             37.25800061225891
131                           0.125                         164                           936                           1                             0.0061261653900146484
131                           0.25                          209                           3088                          1                             0.0167233943939209
131                           0.5                           344                           47143                         1                             0.27205848693847656
131                           0.75                          571                           4627848                       1                             40.37750196456909
